factor,target,group,mean,median,std,count,win_rate,monotonic,spread
close_pos,ret_20,Q4,0.021766084421436408,0.0081074233595135,0.15013508554444696,21115,0.5309969216197016,False,0.00906987709735973
close_pos,ret_20,Q5,0.024604709639193745,0.0017452006980802,0.19940341931431488,20993,0.5042156909446006,False,0.00906987709735973
dist_to_rope_atr,hold_ret,Q1,0.01181513199919946,-0.019008264462809954,0.12364951135327527,23671,0.38857673947023785,False,0.006081989647387938
dist_to_rope_atr,hold_ret,Q2,0.008868286345299658,-0.026365603510660692,0.14352054043290446,16196,0.3736107680908866,False,0.006081989647387938
dist_to_rope_atr,hold_ret,Q3,0.009271671058473806,-0.02649130125389541,0.14848366901072718,17474,0.3762733203616802,False,0.006081989647387938
dist_to_rope_atr,hold_ret,Q4,0.008709581723270769,-0.02584615384615384,0.13208973124171017,21117,0.37140692333191266,False,0.006081989647387938
dist_to_rope_atr,hold_ret,Q5,0.014791571370658707,-0.015686274509803935,0.14424778232467197,12799,0.400031252441597,False,0.006081989647387938
dist_to_rope_atr,ret_5,Q1,0.008183903602042802,-0.0014820354678158,0.08269643831239377,23682,0.48129380964445573,False,0.001625759883622781
dist_to_rope_atr,ret_5,Q2,0.006944991538685775,-0.0030727210652099,0.09923070421371985,16193,0.4731674180201322,False,0.001625759883622781
dist_to_rope_atr,ret_5,Q3,0.007475361892137649,-0.00291673047147495,0.1002214386255633,17482,0.47591808717538037,False,0.001625759883622781
dist_to_rope_atr,ret_5,Q4,0.0068764208204357335,-0.0033783783783783,0.09484088729633271,21117,0.468911303688971,False,0.001625759883622781
dist_to_rope_atr,ret_5,Q5,0.008502180704058514,0.0,0.07593679933470904,12811,0.49457497463117633,False,0.001625759883622781
dist_to_rope_atr,ret_10,Q1,0.010664983909588267,0.0012225596633029501,0.1063878003691577,23600,0.5036440677966102,False,0.002318559956671065
dist_to_rope_atr,ret_10,Q2,0.009135943138380564,-0.0023923444976076,0.135327750735022,16131,0.48589672060008676,False,0.002318559956671065
dist_to_rope_atr,ret_10,Q3,0.011281181937184605,-0.0012095803740005502,0.13285164301183602,17410,0.4898334290637565,False,0.002318559956671065
dist_to_rope_atr,ret_10,Q4,0.009410824185142124,-0.0021911804984935,0.12438059156318924,21025,0.48561236623067777,False,0.002318559956671065
dist_to_rope_atr,ret_10,Q5,0.01145450309505163,0.0035122930255895,0.10058479016171493,12769,0.5222022084736471,False,0.002318559956671065
dist_to_rope_atr,ret_20,Q1,0.017883866168671967,0.0017808910407188,0.15574581421677983,23382,0.504918313232401,False,0.003571894739955273
dist_to_rope_atr,ret_20,Q2,0.016714562681836867,-0.0041597337770381,0.18276318065019853,15989,0.48383263493651885,False,0.003571894739955273
dist_to_rope_atr,ret_20,Q3,0.017427071570123846,-0.0014609203798392,0.18521393290199223,17269,0.49226938444611734,False,0.003571894739955273
dist_to_rope_atr,ret_20,Q4,0.017018138670088535,-0.0023361134369596004,0.16969683978382114,20808,0.49115724721261056,False,0.003571894739955273
